Market Name,Outcome,Bet Price
Seattle Mariners - Logan Gilbert ERA,Under 3.65,-115
Seattle Mariners - Logan Gilbert Total Strikeouts,Over 175.5,-120
Seattle Mariners - Logan Gilbert Total Strikeouts,Under 175.5,-110
Seattle Mariners - Logan Gilbert Total Wins,Over 12.5,-115
Seattle Mariners - Logan Gilbert Total Wins,Under 12.5,-115
Seattle Mariners - Luis Castillo ERA,Over 3.35,-115
Seattle Mariners - Luis Castillo ERA,Under 3.35,-115
Seattle Mariners - Luis Castillo Total Strikeouts,Over 197.5,-120
Seattle Mariners - Luis Castillo Total Strikeouts,Under 197.5,-110
Seattle Mariners - Luis Castillo Total Wins,Over 12.5,-115
Seattle Mariners - Luis Castillo Total Wins,Under 12.5,-115
St Louis Cardinals - Sonny Gray Total Strikeouts,Over 168.5,-110
St Louis Cardinals - Sonny Gray Total Strikeouts,Under 168.5,-120
Tampa Bay Rays - Zach Eflin ERA,Over 3.45,-115
Tampa Bay Rays - Zach Eflin ERA,Under 3.45,-115
Tampa Bay Rays - Zach Eflin Total Strikeouts,Over 165.5,-115
Tampa Bay Rays - Zach Eflin Total Strikeouts,Under 165.5,-115
Tampa Bay Rays - Zach Eflin Total Wins,Over 11.5,-115
Tampa Bay Rays - Zach Eflin Total Wins,Under 11.5,-115
Texas Rangers - Nathan Eovaldi Total Strikeouts,Over 152.5,-105
Texas Rangers - Nathan Eovaldi Total Strikeouts,Under 152.5,-125
Texas Rangers - Nathan Eovaldi Total Wins,Over 10.5,-105
Texas Rangers - Nathan Eovaldi Total Wins,Under 10.5,-125
Toronto Blue Jays - Kevin Gausman ERA,Over 3.25,-115
Toronto Blue Jays - Kevin Gausman ERA,Under 3.25,-115
Toronto Blue Jays - Kevin Gausman Total Strikeouts,Over 215.5,-105
Toronto Blue Jays - Kevin Gausman Total Strikeouts,Under 215.5,-125
Toronto Blue Jays - Kevin Gausman Total Wins,Over 13.5,-115
Toronto Blue Jays - Kevin Gausman Total Wins,Under 13.5,-115
Washington Nationals - Josiah Gray Total Strikeouts,Over 149.5,-115
Washington Nationals - Josiah Gray Total Strikeouts,Under 149.5,-115
Washington Nationals - Josiah Gray Total Wins,Over 8.5,-115
Washington Nationals - Josiah Gray Total Wins,Under 8.5,-115
Washington Nationals - MacKenzie Gore Total Strikeouts,Over 155.5,-115
Washington Nationals - MacKenzie Gore Total Strikeouts,Under 155.5,-115
Washington Nationals - MacKenzie Gore Total Wins,Over 8.5,-115
Washington Nationals - MacKenzie Gore Total Wins,Under 8.5,-115
Arizona Diamondbacks - Christian Walker Total Hits,Over 135.5,-115
Arizona Diamondbacks - Christian Walker Total Hits,Under 135.5,-115
Arizona Diamondbacks - Christian Walker Total Home Runs,Over 29.5,-115
Arizona Diamondbacks - Christian Walker Total Home Runs,Under 29.5,-115
Arizona Diamondbacks - Christian Walker Total RBIs,Over 89.5,-115
Arizona Diamondbacks - Christian Walker Total RBIs,Under 89.5,-115
Arizona Diamondbacks - Corbin Carroll Total Hits,Over 155.5,-115
Arizona Diamondbacks - Corbin Carroll Total Hits,Under 155.5,-115
Arizona Diamondbacks - Corbin Carroll Total Home Runs,Over 25.5,-115
Arizona Diamondbacks - Corbin Carroll Total Home Runs,Under 25.5,-115
Arizona Diamondbacks - Corbin Carroll Total RBIs,Over 79.5,-115
Arizona Diamondbacks - Corbin Carroll Total RBIs,Under 79.5,-115
Arizona Diamondbacks - Corbin Carroll Total Runs Scored,Over 99.5,-115
Arizona Diamondbacks - Corbin Carroll Total Runs Scored,Under 99.5,-115
Arizona Diamondbacks - Corbin Carroll Total Stolen Bases,Over 45.5,-115
Arizona Diamondbacks - Corbin Carroll Total Stolen Bases,Under 45.5,-115
Arizona Diamondbacks - Ketel Marte Total Hits,Over 150.5,-115
Arizona Diamondbacks - Ketel Marte Total Hits,Under 150.5,-115
Arizona Diamondbacks - Ketel Marte Total Home Runs,Over 19.5,-115
Arizona Diamondbacks - Ketel Marte Total Home Runs,Under 19.5,-115
Arizona Diamondbacks - Ketel Marte Total RBIs,Over 78.5,-115
Arizona Diamondbacks - Ketel Marte Total RBIs,Under 78.5,-115
Arizona Diamondbacks - Ketel Marte Total Runs Scored,Over 87.5,-115
Arizona Diamondbacks - Ketel Marte Total Runs Scored,Under 87.5,-115
Atlanta Braves - Austin Riley Total Hits,Over 164.5,-115
Atlanta Braves - Austin Riley Total Hits,Under 164.5,-115
Atlanta Braves - Austin Riley Total Home Runs,Over 35.5,-115
Atlanta Braves - Austin Riley Total Home Runs,Under 35.5,-115
Atlanta Braves - Austin Riley Total RBIs,Over 100.5,-115
Atlanta Braves - Austin Riley Total RBIs,Under 100.5,-115
Atlanta Braves - Austin Riley Total Runs Scored,Over 96.5,-115
Atlanta Braves - Austin Riley Total Runs Scored,Under 96.5,-115
Atlanta Braves - Marcell Ozuna Total Home Runs,Over 30.5,-115
Atlanta Braves - Marcell Ozuna Total Home Runs,Under 30.5,-115
Atlanta Braves - Matt Olson Total Hits,Over 150.5,-115
Atlanta Braves - Matt Olson Total Hits,Under 150.5,-115
Atlanta Braves - Matt Olson Total Home Runs,Over 41.5,-115
Atlanta Braves - Matt Olson Total Home Runs,Under 41.5,-115
Atlanta Braves - Matt Olson Total RBIs,Over 110.5,-115
Atlanta Braves - Matt Olson Total RBIs,Under 110.5,-115
Atlanta Braves - Michael Harris II Total Hits,Over 149.5,-115
Atlanta Braves - Michael Harris II Total Hits,Under 149.5,-115
