Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Martín Pérez","PIT",8.01357,9.00028,10.5117,4.52348,26.0893,26.0665,0,0.163103,151.133,663.232,163.272,82.5663,75.961,18.4605,55.6098,1.14313,6.06415,107.928,6.42712,3.31157,1.94081,1.09932,0.16273,0.0838467,0.07888378202915192,0.271415,1.44827,0.304757,0.706161,,,4.63893,1.49853,1.66329,593.0800170898438,5.23656,0.997931,1.74162,"6902"
"Ryan Pepiot","TBR",8.58848,7.04253,7.64209,4.05755,27.0679,23.4729,0,0.25565,131.164,548.613,114.179,64.2761,59.134,19.7976,46.1465,0.825376,7.91067,131.989,9.05658,3.1664,2.86022,1.35843,0.240587,0.0841149,0.15647189319133759,0.230872,1.22232,0.27535,0.724306,,,4.44105,1.49727,2.03886,192.6199951171875,5.13372,-0.151789,0.502765,"26221"
"Keaton Winn","SFG",5.94577,7.07713,6.84796,4.17601,34.4021,16.8798,0.0143285,0.80619,111.356,472.498,110.305,56.1621,51.6691,13.1785,32.427,0.875235,6.83439,97.6504,7.89231,2.62082,3.01139,1.06512,0.206669,0.0686289,0.13803966343402863,0.254606,1.28176,0.301253,0.696559,,,4.09742,1.48471,1.39982,415.760009765625,2.06089,-2.26325,0.14404,"23499"
"Andrew Heaney","TEX",7.94996,7.3848,7.83521,4.36883,29.1272,24.5046,0,0.438877,129.175,550.59,122.86,68.1572,62.7047,21.5163,45.0598,0.464264,8.06402,137.238,9.56177,3.13946,3.04568,1.4991,0.249256,0.0818391,0.16741645336151123,0.246971,1.29994,0.299202,0.723982,,,4.52934,1.46819,1.59153,361.67999267578125,2.00069,-0.782653,0.829971,"15423"
"Edwin Díaz","NYM",3.31895,2.51715,0,2.70377,60.279,0,31.8195,0.681835,61.6896,247.698,44.2255,20.1443,18.5327,5.68113,21.0275,0.961768,3.5449,96.4192,14.0667,3.06774,4.58538,0.82883,0.389261,0.0848918,0.30436934530735016,0.198209,1.05776,0.318482,0.787246,,,2.52127,1.45372,1.40858,42.540000915527344,3.50522,-0.403545,2.02523,"14710"
"Dean Kremer","BAL",9.3204,8.13352,10.2819,4.29582,27.3071,27.3071,0,0,155.656,660.823,154.424,80.7574,74.2968,23.0104,49.1562,0.530564,5.83973,134.067,7.75171,2.8422,2.72736,1.33046,0.202879,0.0743864,0.12849216908216476,0.254898,1.30788,0.292844,0.71673,,,4.51416,1.39543,1.71833,335.80999755859375,4.10142,-0.328672,1.04357,"19350"
"Ross Stripling","OAK",5.521,6.60566,5.48337,4.41613,25.1192,20.7158,0.00123261,0,121.755,511.687,128.195,64.9381,59.743,18.8984,26.9833,0.522454,3.41811,97.9801,7.24257,1.99457,3.63114,1.39695,0.191485,0.0527341,0.13875047117471695,0.26636,1.27451,0.29993,0.701055,,,4.41247,1.3845,1.35292,517.219970703125,2.84365,3.14015,0.436201,"13273"
"John Means","BAL",7.32342,7.10066,8.65315,4.14428,25.7055,23.5854,0,0.228499,130.2,535.858,123.854,65.1673,59.9539,21.497,29.65,0.889775,4.77479,102.651,7.09572,2.04954,3.4621,1.48597,0.191564,0.0553318,0.13623235747218132,0.247,1.17899,0.271299,0.715809,,,4.61782,1.36598,1.66626,274.1099853515625,4.02751,0.441568,0.632467,"16269"
"JP Sears","OAK",7.81885,10.8415,9.48578,4.31013,28.3163,28.3163,0,0,160.921,678.548,153.331,83.7668,77.0654,25.9281,49.0217,2.27429,9.52608,146.958,8.21907,2.74169,2.99781,1.45011,0.216576,0.072245,0.14433148503303528,0.247307,1.25747,0.284944,0.714143,,,4.61468,1.36449,1.52872,379.5899963378906,2.45879,-0.741657,0.892178,"23429"
"Zack Littell","TBR",7.15472,6.40382,7.43204,4.36365,30.9583,21.2843,0.00394875,0.195938,128.727,541.617,131.411,67.8403,62.4131,19.7859,31.7381,1.74088,5.16064,106.49,7.44529,2.21899,3.35527,1.38335,0.196614,0.0585987,0.13801553845405581,0.260366,1.26741,0.29496,0.703653,,,4.45863,1.36261,1.43793,373.6499938964844,5.39604,0.76141,0.557075,"15823"
