Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Brooks Lee","MIN",9.81735,37.7904,34.5713,8.45899,6.12679,1.91637,0.0496204,0.366202,4.2421,4.06806,2.77714,0.0348739,7.19506,0.148617,0.235523,0.0578664,1.00532,0.295408,0.0647953,0.244683,0.0734879,0.190394,0.385979,0.301722,0.334764,0.281679,0.636486,0.0900812,3.59503,0.297032,-0.0249507,-0.0377493,3.45283,-1.15171,77.5775,-0.0627,0.00558459,-1.0780102908611298,0.25808843318372965,0.0462729,999,1.12758,-0.0526177,2.02383,"sa3019973"
"Nasim Nuñez","WSN",34.7,141.841,125.183,27.718,21.4974,4.70194,0.497235,1.02138,15.3724,9.80452,14.1303,0.0496883,31.9693,0.734648,0.90552,0.887221,2.66154,7.23683,1.57177,0.221419,0.0996209,0.225388,0.441998,0.302106,0.291401,0.269541,0.593506,0.0699817,5.89482,0.286757,-0.294989,0.504161,11.53,-5.75255,65.4437,0.209172,0.588732,-5.863057017326355,1.494953453540802,0.0461538,999,2.09618,1.39584,1.7789,"sa3010695"
"Paul McIntosh","MIA",5.55438,20.0226,17.9669,3.91252,2.34698,0.76979,0.0181857,0.777558,2.22627,1.9949,1.77746,0.00267681,5.42994,0.214484,0.0328217,0.0309035,0.17628,0.0660574,0.0312423,0.217762,0.0887726,0.271191,0.327344,0.295346,0.392463,0.300483,0.687809,0.174701,2.52764,0.265849,-0.00654842,-0.0333865,2.14212,-0.29752,86.1223,-0.039935,-0.264057,-0.38417037576436996,0.1645222306251526,0.0460993,999,1.30211,-0.373239,2.0782,"sa3017372"
"Yasiel Puig",,16.8696,70.7837,63.8762,15.1668,9.64774,3.05577,0.0518384,2.41149,8.43814,8.31436,5.2337,0.036493,17.6001,0.967383,0.599338,0.107141,1.01041,1.16612,0.25996,0.237441,0.0739392,0.248646,0.297367,0.302334,0.400161,0.305045,0.702495,0.16272,4.19947,0.28687,-0.14798,0.00166438,7.84098,-0.78361,91.0923,-0.146316,-0.287127,-0.914623349905014,-1.0681285560131073,0.0423923,999,0.340751,3.18977,1.8654,"14225"
"Seth Beer","PIT",9.44131,24.5116,21.9712,4.83091,2.93301,1.08878,0.0151543,0.793964,2.45243,2.64131,1.71428,0.0606525,6.53327,0.759762,0.0663662,0,0.256639,0,0,0.219875,0.0699375,0.266538,0.262392,0.298021,0.379219,0.296921,0.67724,0.159344,1.57016,0.27443,-0.00469601,-0.0411947,2.54985,-0.43674,82.7897,-0.0458907,0,-0.5685007981956005,0.1441008746623993,0.0409277,999,0.515247,0.125031,2.05793,"20493"
"Julio Carreras","COL",31.628,126.979,115.994,28.6174,19.1701,6.75441,0.753812,1.93902,14.2321,11.9798,7.72885,0.0515069,30.8729,1.31427,0.843907,1.09827,2.0089,2.78181,0.521654,0.246715,0.0608671,0.243134,0.250344,0.299176,0.368093,0.291543,0.667269,0.121378,5.67991,0.317502,-0.233225,0.119194,12.6421,-2.82955,65.6296,-0.114031,0.6275,-5.5207705572247505,1.6036714911460876,0.0406515,999,1.30394,0.356543,1.74164,"sa3005598"
"Oliver Dunn","MIL",8.25947,32.0868,28.2708,5.98352,3.7659,1.4067,0.0542238,0.756696,3.46144,3.04767,3.55469,0.0407652,10.5107,0.159564,0.0523598,0.0493066,0.570482,0.653545,0.0894785,0.21165,0.110784,0.327572,0.338197,0.302701,0.345542,0.288652,0.648243,0.133892,4.58023,0.306455,-0.075275,0.0356207,3.11753,-0.792058,78.4137,-0.0396543,0.0804876,-0.8977233991026878,0.20794856548309326,0.0401925,999,2.02455,-0.298729,2.03009,"sa3010595"
"Chadwick Tromp","ATL",7.30693,25.8481,23.6297,5.0325,3.13275,1.18429,0.0130318,0.702432,2.51108,2.69799,2.07327,0.000988638,6.68658,0.0935585,0.029991,0.0215686,0.232157,0.0331561,0.0149306,0.212974,0.0802097,0.258688,0.310064,0.278757,0.353375,0.277863,0.632132,0.140402,1.80586,0.266127,-0.0200404,-0.0404969,2.27977,-0.869667,69.9962,-0.0605374,-0.026106,-1.021314524114132,0.537699967622757,0.0395621,999,2.69119,1.45467,2.0484,"16953"
"J.P. Martínez","ATL",31.4966,113.279,99.319,21.4171,13.1545,4.35067,1.26014,2.6519,13.5491,10.7976,10.9099,0.0632947,35.5106,1.39182,1.29344,0.36497,1.14095,4.56891,1.24032,0.21564,0.0963098,0.313479,0.307229,0.298624,0.364923,0.291276,0.663547,0.149283,7.27562,0.300485,-0.0239436,0.194614,11.253,-2.5494,78.9883,0.170671,0.376591,-2.77801413834095,-0.6927395462989807,0.038631,747.8599853515625,5.89932,2.30853,1.71977,"24451"
"Blaze Alexander","ARI",7.42278,24.7865,22.506,5.04283,3.6144,0.769309,0.041111,0.618009,2.95793,2.843,1.99335,0.00401239,8.17286,0.208701,0.0403817,0.0380665,0.200494,0.156069,0.0506311,0.224066,0.0804209,0.32973,0.243899,0.292741,0.344281,0.282311,0.637022,0.120215,3.66258,0.321676,-0.00780193,-0.0349422,2.27771,-0.742381,74.1638,-0.0427441,0.0309078,-0.8360900916159153,0.3745548389852047,0.0381585,999,2.57273,-0.246738,2.05199,"sa3007742"
"Alika Williams","PIT",19.3926,63.8438,57.9693,13.3179,9.66886,2.69741,0.076099,0.875511,6.65403,5.50929,4.78784,0.0170187,15.4629,0.761917,0.0931436,0.231613,0.993729,0.384228,0.125196,0.22974,0.0749931,0.242199,0.309634,0.296604,0.324206,0.277305,0.620811,0.0944662,3.1957,0.298207,-0.0317934,-0.0931273,5.60136,-2.17764,69.6395,-0.124921,0.140507,-2.526223473250866,0.6962921917438507,0.0343544,999,3.16577,0.513883,1.91602,"27604"
"Tyler Soderstrom","OAK",85.9001,316.266,290.663,63.1465,40.024,11.9032,1.21582,10.0035,29.6112,35.0082,20.0852,0.674264,91.6256,2.39497,2.3874,0.735129,7.65816,0.826324,0.345003,0.21725,0.0635074,0.289711,0.21921,0.271374,0.369816,0.277364,0.64119,0.152566,3.02352,0.277623,-0.116394,-0.45676,27.7632,-10.772,77.9326,-0.573154,-2.31339,-8.93565434217453,-1.4698141813278198,0.033897,490.0299987792969,2.39797,-1.41422,0.76624,"27467"
"Jorge Barrosa","ARI",7.80876,30.5536,27.4464,6.51351,4.26317,1.62749,0.0909896,0.531858,3.80471,2.83605,2.83711,0.0183308,6.22299,0.173111,0.0499729,0.0470697,0.635013,0.525515,0.156099,0.237318,0.0928567,0.203674,0.455907,0.312186,0.361379,0.297903,0.673565,0.124062,4.81811,0.28839,-0.0264131,-0.0166839,3.20331,-0.519474,84.6162,-0.0430969,0.119098,-0.6253936737775803,-0.0817449763417244,0.0332542,999,2.59766,-0.710709,2.05229,"sa3005524"
