,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
183,Alex Wood,OAK,"RP,SP",SF at CWS,5.5,5.5,0.43478260869565216,0.6078431372549019,(+130),(-155),2023-04-06
184,Lance Lynn,STL,SP,SF at CWS,6.5,7.5,0.5412844036697247,0.6825396825396826,(-118),(-215),2023-04-06
185,Kevin Gausman,TOR,SP,TOR at KC,6.5,6.5,0.5,0.5454545454545454,(EVEN),(-120),2023-04-06
186,Jordan Lyles,KC,SP,TOR at KC,4.5,4.5,0.46296296296296297,0.574468085106383,(+116),(-135),2023-04-06
187,Kyle Freeland,COL,SP,WSH at COL,3.5,3.5,0.4878048780487805,0.5495495495495496,(+105),(-122),2023-04-06
188,Josiah Gray,WSH,SP,WSH at COL,4.5,4.5,0.5238095238095238,0.5238095238095238,(-110),(-110),2023-04-06
189,Blake Snell,FA,SP,SD at ATL,6.5,6.5,0.5,0.5348837209302325,(EVEN),(-115),2023-04-06
190,Spencer Strider,ATL,SP,SD at ATL,7.5,7.5,0.5192307692307693,0.5098039215686274,(-108),(-104),2023-04-06
191,Dustin May,LAD,SP,LAD at ARI,4.5,5.5,0.5798319327731093,0.6296296296296297,(-138),(-170),2023-04-06
192,Merrill Kelly,ARI,SP,LAD at ARI,4.5,4.5,0.5934959349593496,0.46296296296296297,(-146),(+116),2023-04-06
193,Edward Cabrera P,MIA,SP,MIA at NYM,4.5,4.5,0.5238095238095238,0.5,(-110),(EVEN),2023-04-07
194,Tylor Megill,NYM,SP,MIA at NYM,6.5,6.5,0.46296296296296297,0.574468085106383,(+116),(-135),2023-04-07
195,Nathan Eovaldi,TEX,SP,TEX at CHC,5.5,5.5,0.5652173913043478,0.45871559633027525,(-130),(+118),2023-04-07
196,Marcus Stroman,NYY,SP,TEX at CHC,5.5,5.5,0.4807692307692308,0.5238095238095238,(+108),(-110),2023-04-07
197,Clarke Schmidt,NYY,SP,NYY at BAL,4.5,4.5,0.5238095238095238,0.4878048780487805,(-110),(+105),2023-04-07
198,Dean Kremer,BAL,SP,NYY at BAL,4.5,4.5,0.43103448275862066,0.6031746031746031,(+132),(-152),2023-04-07
199,Zack Wheeler,PHI,SP,CIN at PHI,7.5,7.5,0.5,0.5555555555555556,(EVEN),(-125),2023-04-07
200,Hunter Greene,CIN,SP,CIN at PHI,7.5,7.5,0.5412844036697247,0.4878048780487805,(-118),(+105),2023-04-07
201,Aaron Civale,TB,SP,SEA at CLE,5.5,5.5,0.43859649122807015,0.574468085106383,(+128),(-135),2023-04-07
202,Logan Gilbert,SEA,SP,SEA at CLE,4.5,4.5,0.5594713656387665,0.45454545454545453,(-127),(+120),2023-04-07
203,Sonny Gray,STL,SP,HOU at MIN,4.5,4.5,0.5348837209302325,0.4854368932038835,(-115),(+106),2023-04-07
204,Jose Urquidy,HOU,"SP,RP",HOU at MIN,5.5,5.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2023-04-07
205,Lucas Giolito,BOS,SP,CWS at PIT,5.5,5.5,0.6,0.4424778761061947,(-150),(+126),2023-04-07
206,Rich Hill,FA,"RP,SP",CWS at PIT,4.5,4.5,0.45454545454545453,0.574468085106383,(+120),(-135),2023-04-07
207,Alex Cobb,SF,SP,KC at SF,5.5,5.5,0.46511627906976744,0.5614035087719298,(+115),(-128),2023-04-07
208,Brad Keller,FA,"SP,RP",KC at SF,3.5,4.5,0.6226415094339622,0.6,(-165),(-150),2023-04-07
209,Zach Eflin,TB,SP,OAK at TB,4.5,5.5,0.6226415094339622,0.5689655172413793,(-165),(-132),2023-04-07
210,Ken Waldichuk,OAK,"SP,RP",OAK at TB,4.5,4.5,0.4807692307692308,0.5614035087719298,(+108),(-128),2023-04-07
