,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
127,David Peterson,NYM,"SP,RP",ARI at NYM,5.5,5.5,0.46296296296296297,0.5967741935483871,(+116),(-148),2021-05-07
128,Zach Eflin,TB,SP,PHI at ATL,5.5,5.5,0.4854368932038835,0.576271186440678,(+106),(-136),2021-05-07
129,Charlie Morton,ATL,SP,PHI at ATL,6.5,6.5,0.5192307692307693,0.4878048780487805,(-108),(+105),2021-05-07
130,Chris Flexen,CWS,"SP,RP",SEA at TEX,5.5,5.5,0.4132231404958678,0.6453900709219859,(+142),(-182),2021-05-07
131,Michael Foltynewicz,FA,SP,SEA at TEX,5.5,6.5,0.5815899581589958,0.6551724137931034,(-139),(-190),2021-05-07
132,Jose Urquidy,HOU,"SP,RP",TOR at HOU,4.5,4.5,0.5260663507109005,0.5238095238095238,(-111),(-110),2021-05-07
133,Ross Stripling,OAK,"SP,RP",TOR at HOU,3.5,3.5,0.49504950495049505,0.5652173913043478,(+102),(-130),2021-05-07
134,Brad Keller,FA,"SP,RP",CWS at KC,3.5,3.5,0.47619047619047616,0.5708154506437768,(+110),(-133),2021-05-07
135,Carlos Rodon,NYY,SP,CWS at KC,5.5,5.5,0.5689655172413793,0.45454545454545453,(-132),(+120),2021-05-07
136,Jack Flaherty,DET,SP,COL at STL,6.5,7.5,0.5555555555555556,0.6,(-125),(-150),2021-05-07
137,Austin Gomber,COL,SP,COL at STL,5.5,5.5,0.43859649122807015,0.6062992125984252,(+128),(-154),2021-05-07
138,Zach Plesac,LAA,SP,CIN at CLE,5.5,5.5,0.4878048780487805,0.5689655172413793,(+105),(-132),2021-05-07
139,Wade Miley,MIL,SP,CIN at CLE,3.5,3.5,0.5495495495495496,0.5098039215686274,(-122),(-104),2021-05-07
140,Griffin Canning,LAA,SP,LAD at LAA,5.5,5.5,0.504950495049505,0.5575221238938053,(-102),(-126),2021-05-07
141,Julio Urias,FA,SP,LAD at LAA,6.5,6.5,0.504950495049505,0.5260663507109005,(-102),(-111),2021-05-07
142,Rich Hill,FA,"RP,SP",TB at OAK,4.5,4.5,0.5192307692307693,0.5412844036697247,(-108),(-118),2021-05-07
143,Sean Manaea,NYM,"SP,RP",TB at OAK,6.5,6.5,0.504950495049505,0.5348837209302325,(-102),(-115),2021-05-07
144,Blake Snell,FA,SP,SD at SF,5.5,7.5,0.5983935742971888,0.6825396825396826,(-149),(-215),2021-05-07
145,Anthony Desclafani,MIN,SP,SD at SF,4.5,5.5,0.5454545454545454,0.609375,(-120),(-156),2021-05-07
146,Corey Kluber,FA,"RP,SP",WSH at NYY,5.5,6.5,0.6168582375478927,0.6268656716417911,(-161),(-168),2021-05-08
147,Max Scherzer,TEX,SP,WSH at NYY,8.5,9.5,0.5412844036697247,0.6153846153846154,(-118),(-160),2021-05-08
