,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
64,Zack Greinke,FA,SP,HOU at TOR,4.5,4.5,0.45454545454545453,0.5983935742971888,(+120),(-149),2021-06-04
65,Julio Urias,FA,SP,LAD at ATL,6.5,6.5,0.45045045045045046,0.6062992125984252,(+122),(-154),2021-06-04
66,Ian Anderson,ATL,SP,LAD at ATL,5.5,5.5,0.5,0.5495495495495496,(EVEN),(-122),2021-06-04
67,Kyle Gibson,STL,SP,TB at TEX,4.5,4.5,0.47619047619047616,0.5575221238938053,(+110),(-126),2021-06-04
68,Josh Fleming,FA,"SP,RP",TB at TEX,3.5,3.5,0.576271186440678,0.45454545454545453,(-136),(+120),2021-06-04
69,Brad Keller,FA,"SP,RP",MIN at KC,4.5,4.5,0.46511627906976744,0.576271186440678,(+115),(-136),2021-06-04
70,Matt Peacock,FA,RP,ARI at MIL,4.5,4.5,0.4424778761061947,0.6153846153846154,(+126),(-160),2021-06-04
71,Freddy Peralta,MIL,SP,ARI at MIL,7.5,7.5,0.4878048780487805,0.5815899581589958,(+105),(-139),2021-06-04
72,Spencer Turnbull,FA,SP,DET at CWS,5.5,5.5,0.47619047619047616,0.576271186440678,(+110),(-136),2021-06-04
73,Dallas Keuchel,FA,SP,DET at CWS,4.5,4.5,0.4424778761061947,0.588477366255144,(+126),(-143),2021-06-04
74,Luis Castillo,SEA,SP,CIN at STL,4.5,5.5,0.5708154506437768,0.5495495495495496,(-133),(-122),2021-06-04
75,Kwang Hyun Kim,FA,"SP,RP",CIN at STL,4.5,4.5,0.4807692307692308,0.5614035087719298,(+108),(-128),2021-06-04
76,Frankie Montas,CIN,"SP,RP",OAK at COL,5.5,5.5,0.46511627906976744,0.5614035087719298,(+115),(-128),2021-06-04
77,Jonathan Gray,TEX,SP,OAK at COL,4.5,4.5,0.5495495495495496,0.5121951219512195,(-122),(-105),2021-06-04
78,Shohei Ohtani,LAD,"DH,SP",SEA at LAA,6.5,6.5,0.5283018867924528,0.5,(-112),(EVEN),2021-06-04
79,Jake Arrieta,FA,SP,CHC at SF,3.5,3.5,0.5726495726495726,0.4878048780487805,(-134),(+105),2021-06-04
