,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
74,Jonathan Gray,TEX,SP,ARI at COL,4.5,4.5,0.588477366255144,0.4694835680751174,(-143),(+113),2021-04-08
75,Brad Keller,FA,"SP,RP",KC at CWS,4.5,4.5,0.47619047619047616,0.5983935742971888,(+110),(-149),2021-04-08
76,Lance Lynn,STL,SP,KC at CWS,6.5,6.5,0.6062992125984252,0.4329004329004329,(-154),(+131),2021-04-08
77,Adam Wainwright,FA,SP,MIL at STL,5.5,5.5,0.4608294930875576,0.5708154506437768,(+117),(-133),2021-04-08
78,Corbin Burnes,BAL,SP,MIL at STL,7.5,7.5,0.5475113122171946,0.5,(-121),(EVEN),2021-04-08
79,Griffin Canning,LAA,SP,LAA at TOR,4.5,4.5,0.5594713656387665,0.5,(-127),(EVEN),2021-04-08
80,Ross Stripling,OAK,"SP,RP",LAA at TOR,3.5,3.5,0.5305164319248826,0.5305164319248826,(-113),(-113),2021-04-08
81,Cristian Javier,HOU,SP,OAK at HOU,4.5,5.5,0.6753246753246753,0.5594713656387665,(-208),(-127),2021-04-08
82,Rich Hill,FA,"RP,SP",NYY at TB,5.5,5.5,0.390625,0.6062992125984252,(+156),(-154),2021-04-09
83,Corey Kluber,FA,"RP,SP",NYY at TB,6.5,6.5,0.46511627906976744,0.5454545454545454,(+115),(-120),2021-04-09
84,Walker Buehler,LAD,SP,WSH at LAD,7.5,7.5,0.43478260869565216,0.5967741935483871,(+130),(-148),2021-04-09
85,Johnny Cueto,FA,SP,COL at SF,5.5,5.5,0.43103448275862066,0.5815899581589958,(+132),(-139),2021-04-09
86,Austin Gomber,COL,SP,COL at SF,4.5,4.5,0.45454545454545453,0.5555555555555556,(+120),(-125),2021-04-09
87,Andrew Heaney,TEX,"SP,RP",LAA at TOR,5.5,5.5,0.5454545454545454,0.5260663507109005,(-120),(-111),2021-04-09
88,Zach Plesac,LAA,SP,DET at CLE,5.5,6.5,0.5475113122171946,0.5967741935483871,(-121),(-148),2021-04-09
89,Julio Teheran,FA,SP,DET at CLE,3.5,3.5,0.4878048780487805,0.5815899581589958,(+105),(-139),2021-04-09
90,Charlie Morton,ATL,SP,PHI at ATL,5.5,5.5,0.5575221238938053,0.4694835680751174,(-126),(+113),2021-04-09
91,Zack Wheeler,PHI,SP,PHI at ATL,5.5,6.5,0.5983935742971888,0.6240601503759399,(-149),(-166),2021-04-09
92,Sean Manaea,NYM,"SP,RP",OAK at HOU,3.5,4.5,0.6168582375478927,0.6575342465753424,(-161),(-192),2021-04-09
93,Lance Mccullers,HOU,SP,OAK at HOU,6.5,7.5,0.4878048780487805,0.609375,(+105),(-156),2021-04-09
94,Taylor Widener,ATL,RP,CIN at ARI,6.5,6.5,0.3875968992248062,0.5815899581589958,(+158),(-139),2021-04-09
95,Tyler Mahle,TEX,SP,CIN at ARI,6.5,6.5,0.43478260869565216,0.588477366255144,(+130),(-143),2021-04-09
96,Domingo German,FA,SP,NYY at TB,5.5,5.5,0.6,0.45871559633027525,(-150),(+118),2021-04-10
97,Christopher Archer,FA,SP,NYY at TB,5.5,5.5,0.5238095238095238,0.5370370370370371,(-110),(-116),2021-04-10
98,Jacob Degrom,TEX,SP,MIA at NYM,9.5,9.5,0.5614035087719298,0.4854368932038835,(-128),(+106),2021-04-10
99,Trevor Rogers,MIA,SP,MIA at NYM,5.5,5.5,0.6254681647940075,0.43103448275862066,(-167),(+132),2021-04-10
100,Michael Pineda,FA,SP,SEA at MIN,5.5,5.5,0.5260663507109005,0.45454545454545453,(-111),(+120),2021-04-10
101,Yusei Kikuchi,TOR,SP,SEA at MIN,5.5,5.5,0.45454545454545453,0.5652173913043478,(+120),(-130),2021-04-10
102,Adrian Houser,NYM,SP,MIL at STL,4.5,4.5,0.4444444444444444,0.6,(+125),(-150),2021-04-10
